productId,slug,familyName,canonicalProductName,strength,vialSizeMl,finishedSizeInches,pixelSizeAt600Dpi,png,pdf,archived,storefrontVisible
cmp1x0zaz001ibot9h12tu0lb,bpc10-tb10-20mg,BPC 157 + TB500,BPC10 + TB10,20mg,3,1.75 x 0.75,1050 x 450,3ml/png/BPC 157 + TB500 20mg - 3mL Label.png,3ml/pdf/BPC 157 + TB500 20mg - 3mL Label.pdf,True,False
cmp1x0zai001hbot99755vfiv,bpc5-tb5-10mg,BPC 157 + TB500,BPC5 + TB5,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/BPC 157 + TB500 10mg - 3mL Label.png,3ml/pdf/BPC 157 + TB500 10mg - 3mL Label.pdf,True,False
cmp1x105e002wbot9y3ofnqmr,botulinum-toxin-100mg,Botulinum Toxin Type A,Botulinum Toxin Type A,100 units,3,1.75 x 0.75,1050 x 450,3ml/png/Botulinum Toxin Type A 100 units - 3mL Label.png,3ml/pdf/Botulinum Toxin Type A 100 units - 3mL Label.pdf,True,False
cmp1x0zfa001rbot9nrmch7y8,cjc1295-no-dac-10mg,CJC-1295 No DAC,CJC-1295 No DAC,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/CJC-1295 No DAC 10mg - 3mL Label.png,3ml/pdf/CJC-1295 No DAC 10mg - 3mL Label.pdf,False,True
cmp1x0zeu001qbot9zzdy9w0y,cjc1295-no-dac-5mg,CJC-1295 No DAC,CJC-1295 No DAC,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/CJC-1295 No DAC 5mg - 3mL Label.png,3ml/pdf/CJC-1295 No DAC 5mg - 3mL Label.pdf,False,True
cmp1x0zfu001sbot9mkteotxd,cjc1295-with-dac-2mg,CJC-1295 With DAC,CJC-1295 With DAC,2mg,3,1.75 x 0.75,1050 x 450,3ml/png/CJC-1295 With DAC 2mg - 3mL Label.png,3ml/pdf/CJC-1295 With DAC 2mg - 3mL Label.pdf,False,True
cmp1x0zgb001tbot98toptrd1,cjc1295-with-dac-5mg,CJC-1295 With DAC,CJC-1295 With DAC,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/CJC-1295 With DAC 5mg - 3mL Label.png,3ml/pdf/CJC-1295 With DAC 5mg - 3mL Label.pdf,False,True
cmp1x0zgt001ubot9raqr097r,cjc1295-ipa-10mg,CJC-1295 + Ipamorelin,CJC-1295 without DAC 5mg + Ipamorelin 5mg,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/CJC-1295 + Ipamorelin 10mg - 3mL Label.png,3ml/pdf/CJC-1295 + Ipamorelin 10mg - 3mL Label.pdf,False,True
cmp1x0ywr000obot9x09osvhe,cagrilintide-10mg,Cagrilintide,Cagrilintide,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/Cagrilintide 10mg - 3mL Label.png,3ml/pdf/Cagrilintide 10mg - 3mL Label.pdf,False,True
cmp1x0yw9000nbot9nywh6ntb,cagrilintide-5mg,Cagrilintide,Cagrilintide,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/Cagrilintide 5mg - 3mL Label.png,3ml/pdf/Cagrilintide 5mg - 3mL Label.pdf,False,True
